Ort;ID;1701 |Jan;1702 |Feb;1703 |M�r;1704 |Apr;1705 |Mai;1706 |Jun;1707 |Jul;1708 |Aug;1709 |Sep;1710 |Okt;1711 |Nov;1712 |Dez;1801 |Jan;1802 |Feb;1803 |M�r;1804 |Apr;1805 |Mai;1806 |Jun;1807 |Jul;1808 |Aug;1809 |Sep;1810 |Okt;1811 |Nov;1812 |Dez;1901 |Jan;1902 |Feb;1903 |M�r;1904 |Apr;1905 |Mai;1906 |Jun;1907 |Jul;1908 |Aug;1909 |Sep;1910 |Okt;1911 |Nov;1912 |Dez;2001 |Jan;2002 |Feb;2003 |M�r;2004 |Apr;2005 |Mai;2006 |Jun;2007 |Jul;2008 |Aug;2009 |Sep;2010 |Okt;2011 |Nov;2012 |Dez;2101 |Jan;2102 |Feb;2103 |M�r;2104 |Apr;2105 |Mai;2106 |Jun;2107 |Jul;2108 |Aug;2109 |Sep
JC Elbe-Elster;3504;3.553869926;3.205038488;3.469101124;3.823820989;3.918764302;3.985559567;4.020618557;3.603737209;3.989037759;4.009908655;4.662807072;4.798099762;4.893990116;5.559105431;4.94637426;4.951456311;4.584620387;4.574838389;4.777870914;4.579249747;5.236950549;4.890271298;4.872918493;5.043355158;4.730687456;4.957805907;4.945739192;5.399606651;5.126327353;5.082239882;5.003748126;5.405918058;4.762826718;4.36477007;3.899172903;3.223223223;2.193338749;1.164691459;1.589242054;1.851487099;1.493417174;0.865290069;0;0.282828283;1.058530511;1.939058172;2.696289905;3.268114384;3.277981454;3.042553191;2.513199578;2.250736222;2.04734485;1.905999567;2.000879507;2.191903377;2.765714286
JC Oberspreewald-Lausitz;3506;3.11967632;3.244962884;3.266518189;3.394004283;3.158124795;3.348066298;3.512118492;3.728737186;3.940155322;3.588378285;3.587759409;3.377022081;3.090716055;3.653345945;3.51293615;3.655040612;3.275458687;3.317060959;3.565558225;3.834276891;3.676470588;3.700265252;3.951449764;3.858651503;3.872008604;4.261631827;3.922366992;3.807036833;3.235377225;3.569364162;3.584018801;3.998806326;3.911205074;3.895705521;3.642023346;3.018926951;2.177293935;1.62170591;1.745363877;2.312404288;2.312404288;1.569955364;0.74906367;0.761179829;1.499032882;2.006909031;2.603905859;2.956492525;2.986560478;2.49017038;2.012434555;1.473753933;1.711983887;1.66893733;1.966243257;2.189391242;2.57101762
JC Dahme-Spreewald;3510;4.522275899;4.729911314;4.329062711;4.271871161;4.21242875;4.369274137;4.447592068;4.388984509;4.519035164;4.764011799;4.886091127;4.345850999;4.395106479;3.998182644;4.306802618;4.182744251;4.377628914;4.29971546;4.54764583;4.751830757;4.860307489;4.932659933;5.05942275;5.153227187;4.968521354;5.168310099;4.486848891;4.131227217;3.981596178;4.484304933;4.836672081;5.244819365;5.182983466;5.324773414;5.021792685;4.671115348;4.014528771;3.622497617;3.427830276;3.460641922;2.735615955;1.461267606;0.645045691;0.48904184;0.819214299;1.533800417;2.256779822;3.106648987;2.736686391;2.447102116;1.905972046;2.100456621;1.813084112;1.54483798;1.999223602;2.050473186;2.507583418
JC Spree-Nei�e;3538;2.35818158;2.171933932;2.299298519;2.279915656;2.423112768;2.576554701;2.61572172;2.823302575;2.898142938;2.881186707;2.705048459;2.921511628;2.880116959;2.857980361;2.756485849;2.756372258;2.912912913;2.848916503;2.819059292;2.534775889;2.317150063;2.633258857;2.631578947;2.655155563;2.373264449;2.378255946;2.512562814;2.644546649;2.305764411;2.499155691;2.380136986;2.53560264;2.254171104;2.148790177;1.991959064;1.868640148;1.680206795;1.710673113;1.950321987;1.906318083;1.307901907;0.601860295;0.351786706;0.415643302;0.78952436;1.451549627;1.972775695;2.440960508;2.19478738;2.196307094;1.494855368;1.35082224;1.324372406;1.383319968;1.618450334;1.497128794;1.842546064
JC Barnim;3602;3.238002908;3.477172029;3.418391911;3.626943005;3.355373532;3.700019893;3.742888512;3.736440337;3.786557209;3.758850479;3.446102122;3.496874007;3.548728814;3.599704423;3.524416136;3.384549264;3.247602441;3.57260999;3.910177634;4.201965435;4.311527905;4.085648148;4.207195594;3.93442623;3.654562384;3.666744024;3.47805789;3.797917653;3.624835507;3.840562152;4.077906269;3.868974042;3.244322436;2.703042494;2.908079403;2.752995157;2.314756573;1.634980989;0.953934982;1.010839118;0.564361191;0.576784427;0.097347286;0.122895416;0.17672305;0.58411215;0.781555295;0.927256106;0.908044507;0.760359904;0.541493515;0.306591722;0.283687943;0.338409475;0.253265796;0.269432844;0.341017597
JC Uckermark;3604;1.449732115;1.536901233;1.618958236;2.018449894;1.95686901;1.967930029;2.018468579;2.044334975;2.008835542;1.855739357;1.749492901;1.885343798;1.788147139;1.781604296;1.762682717;1.899451076;1.854455968;1.949836037;2.0192995;2.198792466;1.938906164;1.712076583;1.528627015;1.719626168;1.52364928;1.634320735;1.706771125;1.749408983;1.648931071;1.670367867;1.847709812;1.797175866;2.092765872;1.810414972;1.707217338;1.095947064;0.660611065;0.197156792;0.630686518;0.970675386;1.122219955;0.809509171;0.465020151;0.37739805;0.563949777;0.924515989;1.170224293;1.502122564;1.288383079;1.095861262;0.657545869;0.586979723;0.638044771;0.721469174;0.9006004;0.980171248;1.152047451
JC Frankfurt (Oder), Stadt;3702;3.339100346;3.542422672;3.487373304;3.373493976;3.200692042;2.839721254;2.654094639;2.375545852;2.491606291;2.404274265;2.517985612;2.437703142;2.422708371;2.610261026;2.307969708;2.747153443;2.587463557;2.816901408;3.192470936;3.486618922;3.248614561;2.926356589;2.611940299;2.645713149;2.592519295;2.629497825;2.513358401;2.406523469;2.498001599;2.395687762;2.938808374;3.013530135;3.429752066;3.87823186;4.59453737;5.026737968;4.568965517;3.597430407;2.398286938;2.883188467;2.79646762;2.614930409;1.318307463;0.994594595;1.696408901;2.55482704;3.240740741;3.382761816;2.737520129;2.147589673;1.768306506;1.80447693;2.116889093;2.437341918;2.565896898;2.374169041;2.714388662
JC Oder-Spree;3706;1.253154643;1.2972412;1.287034638;1.565625815;1.575288216;1.624644886;1.446356646;.;.;1.564842579;1.621103118;1.590156176;1.408048711;1.46752509;1.618245481;1.758431825;1.425109064;1.466246802;1.768680445;1.785534147;1.810556465;1.642901426;1.712473573;1.690795731;1.399770187;1.416224097;1.231218698;1.306913997;1.4568827;1.59039273;1.532231586;1.764118496;1.863564491;1.916276948;1.614776952;1.189088366;0.835945664;0.640353941;0.673635308;0.784001818;0.569132909;0.23482053;0;0;0.11715089;0.431810004;0.714545234;1.028308735;0.869254584;0.734945472;0.426439232;0.344581749;0.299222023;0.301823011;0.354436568;0.395794682;0.517742139
JC M�rkisch-Oderland;3708;4.260188364;4.097063478;3.946322945;3.916845111;3.818658945;4.185103245;3.918291551;3.684259867;4.06921468;4.1352657;4.390243902;4.534253327;4.582635262;4.58173219;4.362482649;4.555444555;4.367255738;4.408713693;4.406992568;4.683840749;4.968539813;4.861720808;4.619625138;4.647809207;4.555506413;4.792013311;4.520151414;4.333183655;4.395857307;4.75194609;5.126090031;5.179043499;5.248484848;5.288932419;4.957243772;4.643035447;3.723204212;3.190153228;2.889885401;2.787583688;2.471070395;1.984843017;1.310202596;0.964272469;0.695146613;1.417056682;2.405721717;2.923900274;2.924503994;2.656788862;2.304380856;2.053752535;1.919631431;2.245295263;2.558016878;2.677250101;2.464403067
JC Ostprignitz-Ruppin;3802;3.249240523;3.263310873;3.271956551;3.600588944;3.342845495;3.638368247;3.68921185;4.047551656;4.137931034;4.116788321;4.137727206;3.821090047;3.71246857;4.035740879;4.292360798;4.402132521;3.571978445;3.339108521;3.244458721;3.217334209;3.165611463;3.236682401;3.465431463;3.787878788;3.690415172;3.583617747;3.328710125;3.252461322;3.247100803;3.10536708;3.260278935;3.538175047;3.527866391;3.509104704;3.442999235;3.092982795;2.459646426;1.754724258;2.102044716;1.894298163;1.718602455;1.195672803;1.038461538;0.861900098;0.772430184;0.705502923;1.64701098;2.422500513;2.761540012;2.415651827;1.941941942;2.084598259;2.00122524;2.025211821;2.228295144;1.907587961;2.551242913
JC Prignitz;3804;3.598339228;3.664921466;3.042001235;2.92880511;2.462358846;2.495232041;3.369880684;3.489889106;3.826403843;3.558897243;3.247082699;3.396226415;3.554175293;4.159415245;3.929135239;3.920876016;4.051401035;4.496632077;4.531163307;4.34539351;4.058969941;4.152249135;3.782323427;3.609051892;3.585271318;3.897875658;3.982041772;3.805955433;3.637459807;3.882304863;4.222451081;4.358655044;4.319426886;4.121289772;4.29035753;3.896947391;2.690288714;0.944017563;0.963855422;1.483233018;1.61498708;1.144461239;1.915125136;2.067126028;2.118548569;0.555426984;0.977653631;1.674418605;2.284263959;2.292000917;2.335699565;1.558560623;1.565786399;1.439018636;1.811680572;2.162818955;2.444444444
JC Oberhavel;3806;1.807341159;1.890130354;1.890834575;2.101510461;1.887866426;1.90430622;1.709154114;1.827063996;2.383553481;2.492431887;2.589986744;2.396199132;2.045877247;2.042297325;1.842353187;2.033036849;2.013422819;2.306193157;2.336294834;2.228105008;2.115040286;2.154540327;2.176390155;2.198687694;2.040345821;1.895515488;2.121001391;2.26927126;2.499410516;2.517899761;2.43902439;2.377432865;2.261874843;2.279129321;2.303787583;2.071513392;1.662707838;1.270345375;0.933350861;1.170117012;0.76442859;0.620881906;0.089251562;0.07765985;0.144774941;0.349133879;0.528097495;0.854700855;0.934454679;0.897571278;0.910650653;0.806985051;0.663658083;0.586666667;0.608354738;0.793325127;1.050158906
JC Havelland;3846;2.120601824;2.731856021;2.578594136;2.859525795;2.481804081;2.712849703;2.670259677;2.588438309;2.65051117;2.761516925;2.350038951;1.764705882;2.35941801;3.202520016;4.025701547;3.73608903;3.517250638;3.347050754;3.228041009;3.46035304;3.458582408;3.592555187;3.47558293;3.489399293;3.203526819;3.016036487;3.022670025;2.942501126;2.880219445;2.872143298;2.752293578;3.320158103;3.486326563;3.781853595;3.443138553;2.988543915;2.240158129;1.828966881;1.875713587;1.923076923;1.672136271;1.174996083;0.963817349;0.825265831;0.630150267;0.759828213;1.217884551;2.029612377;1.946352633;1.823757263;1.229176775;1.352011728;1.363561689;1.368719746;1.217450118;1.451254909;1.806917914
JC Brandenburg an der Havel, Stadt;3902;3.676784951;3.749109052;3.244085565;3.16374519;2.958919851;3.101557992;3.174603175;3.17207416;3.515453347;3.451353764;3.610161937;3.095558546;3.160101842;2.90750226;2.946925274;2.790838768;2.921485088;2.836988192;2.976190476;3.18140104;3.745376079;3.703703704;3.455316476;3.743061063;3.802461344;3.912289005;3.512102515;3.300753084;2.976864585;2.82310705;2.738370175;2.667337695;2.551888397;2.463393626;2.63385895;2.490286118;1.829697396;1.185211392;1.312335958;1.673279282;1.436879918;0.856457691;0.103770322;0.122185373;0.124666073;0.237833882;0.460659665;0.757435803;1.047794118;1.387874361;1.201966855;0.98973607;0.758136095;0.855813953;0.941974378;1.139384732;1.274623407
