Ort	ID	1910	1911	1912	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2101	2102	2103	2104	2105	2106	2107	2108	2109
JC Wolfenb‹¨«ttel	21106	2,082890542	1,758147513	1,288383079	0,787736853	0,446523496	0,104975856	0,102375102	0,060593819	0,040330712	0	*	0,063078217	*	0,086523902	*	0,148777896	0,189913484	0,442105263	0,656223539	0,747863248	0,686106346	0,666810067	0,726392252	0,645735916
JC Goslar	21124	3,804422469	0,456431535	0,321453529	0,303657695	0,19326339	0,271665308	0,481645405	0,443150165	0,379698772	0,03846647	0,129416332	0,223126395	0,419940396	0,997035839	1,545698925	1,71458718	1,473464598	1,197065259	1,010493587	0,978345943	0,988533017	1,118296955	1,3074594	1,630587574
JC Osterholz	21416	3,780783906	3,571428571	3,376714738	2,70176654	2,689655172	2,356557377	2,130449033	1,371652515	0,91833388	0,262467192	0,23482053	0,337837838	1,126664391	1,848681958	2,303988996	2,472899729	2,408026756	2,572669562	2,578700603	2,648556876	2,57997936	2,92173913	2,75326509	3,205128205
JC Celle	22102	4,743167074	4,316546763	3,892054618	3,496127367	2,696917808	2,330508475	1,932963191	1,470588235	0,882141758	0,145545275	0,200126396	0,160892417	0,164293538	0,307692308	0,630252101	0,789560259	1,012167546	1,078598889	1,029821927	0,911062907	0,953320184	0,924585051	0,920873124	1,319139088
JC Heidekreis	22116	2,891018353	2,954209749	2,605703048	2,504911591	2,000650618	2,138951431	2,245769413	1,82549505	1,239733457	0,486961986	0,595429675	1,046777887	1,494271957	2,120200334	2,371740959	2,616327206	2,267126663	1,832760596	1,494989322	1,381031614	1,353408899	1,170798898	1,328903654	1,634974231
JC Emden, Stadt	22402	1,830663616	1,496002063	1,422659079	1,168224299	0,905094388	0,869120654	0,771144279	0,565388397	0,270735909	0	*	0,257599176	0,500395049	0,771892467	0,903054449	0,948116934	0,946621089	0,651380928	0,604944766	0,551615445	0,527843758	0,537201182	0,486223663	0,409948073
JC Leer	22410	1,399713695	1,842358219	2,147239264	1,967107385	1,662049861	2,178121975	2,132701422	2,312758462	2,139037433	1,754926108	0,78125	0,271695701	0,275660775	0,725806452	1,116143643	1,092809629	1,165501166	0,815008458	0,925783058	0,852713178	0,93676815	0,933839823	0,963081862	1,07755102
JC Wittmund	22444	2,885572139	2,463054187	1,891488303	1,233958539	1,274509804	0,830258303	0,791556728	0,309187279	0,08908686	0,046104195	*	0,435835351	0,693069307	1,347449471	1,362781955	1,093394077	0,626678603	0,624721107	0,407608696	0,411334552	*	*	0,246062992	0,29925187
JC Aurich	22446	3,082191781	2,90208241	2,573408116	2,463863338	2,35024049	2,448150524	2,310861047	2,001774973	1,356301356	0,625	0,296675192	0,262412092	0,421166307	0,403181868	0,485018323	0,432261465	0,395627277	0,404942374	0,524879278	0,72815534	0,642054575	0,571742716	0,658776239	0,848128463
JC G‹¨«ttingen	23102	2,512453974	2,34188652	2,255257433	1,864835562	1,563508571	1,54486456	1,731958763	1,766019352	1,325706595	0,899013113	0,544514021	0,566689703	0,645568732	0,98891008	1,316534541	1,298701299	1,186074095	0,891054647	0,723478261	0,66596565	0,810372771	0,975436098	1,142113633	1,355133304
JC Northeim	23106	1,688718663	1,606145251	1,533635413	1,291448517	0,993897123	1,07266436	0,927487352	0,734925672	0,285330648	0,05092514	0,119821979	0,27826087	0,498841974	0,805297065	0,912996778	0,622332859	0,440528634	0,365853659	0,279134682	0,315844885	0,30141844	0,445156695	0,491713713	0,795118343
JC Holzminden	23406	3,025014543	3,136909997	2,826855124	2,280805687	1,946902655	1,333719919	1,165103723	0,560695262	0,3085554	0,085567598	*	0,117164616	0,328849028	0,95837077	1,317365269	1,455301455	1,181334908	1,052631579	1,087275933	0,735294118	0,891530461	0,754603079	0,830003074	0,811232449
JC Hameln-Pyrmont	23408	2,482806854	2,367491166	1,998119417	1,231527094	0,656583421	0,279362123	0,405770965	0,290795213	0,180464697	0,079835766	0,115553501	0,151851419	0,166448698	0,106951872	0,178062678	0,153157399	0,175151798	0,185356812	0,150777082	0,140812016	0,201397939	0,205438066	0,171589656	0,124362641
JC Schaumburg	23444	4,491357325	3,982930299	3,57091844	3,083129232	2,600028889	2,462984055	2,158071749	1,635708345	0,865679978	0,295816312	0,215177163	0,32032615	0,785883749	1,301031853	1,690310896	1,484480432	1,338688086	1,176297603	1,346552234	1,664667067	1,906202723	1,774785802	1,744186047	1,736498327
JC Region Hannover	23702	2,479167745	2,272519969	2,072246835	1,375086514	0,752429721	0,231142615	0,32591718	0,271752259	0,151692089	0,010851218	0,008499375	0,007378168	0,006258371	*	0,005028411	*	*	*	0,003702013	0,006200089	0,007509951	0,008858181	0,010242884	0,016862313
JC Helmstedt	24110	4,040632054	4,065409948	3,145087236	1,979071884	0,545082898	0,203573852	0,110619469	0,043907794	0	0,088183422	*	0,090641287	0,23046785	0,738347946	1,222888786	1,546860783	1,707097934	1,495201964	1,303956835	1,08401084	0,862460281	1,103448276	1,313320826	1,309212092
JC Gifhorn	24112	2,744820259	2,678571429	2,284994602	1,979841613	1,536792623	1,508349793	1,357229859	1,011659808	0,374914792	0	*	0,052392595	0,196779964	0,433996383	0,614272809	0,785013381	0,863740525	1,035269345	0,984528833	1,045913845	1,129032258	1,361408604	1,561048132	1,420723622
JC Wolfsburg, Stadt	24114	4,782452355	4,674427064	3,263061412	3,600293902	3,164211675	3,552936976	3,462837838	3,421052632	3,046184081	2,187241094	1,148648649	1,011975038	0,96936126	1,46188653	1,650570676	1,662049861	2,007485539	2,015790358	1,794699765	1,371696219	1,214779821	1,205026683	1,591144933	1,45181039
JC Hildesheim	24402	3,399868392	3,196246609	2,687974078	1,742058264	0,935330654	0,425255874	0,342681306	0,303406427	0,26149188	0,193090132	0,146596859	0,09905894	0,158833297	0,196092672	0,188610809	0,079011636	0,063934077	0,084632203	0,077513917	0,078058473	0,0999001	0,115199078	0,102271897	0,096525097
JC Peine	24404	4,398925453	4,123190845	3,291482864	2,809083263	2,654123971	2,148760331	2,150882825	1,826846704	1,875993641	1,184379001	0,483792937	0,27700831	0,412405147	0,879522071	1,081530782	1,048149361	0,840200355	0,690541192	0,728037534	0,826312378	0,912052117	0,81512879	0,740253331	1,152882206
JC L‹¨«neburg	25102	3,521643434	3,512243384	3,282985894	2,475740234	1,240694789	0,493218249	0,375542777	0,31278962	0,299091223	0,05800464	0,047421458	0,048798341	0,225281602	0,54402834	1,068022886	1,352205232	1,58808322	1,431367751	1,3791405	1,147847785	1,293969849	1,626953625	1,756668835	1,837895015
JC Harburg	25104	3,178027035	3,032053133	2,580366153	2,550297535	1,864143483	1,661779081	1,731717064	1,666232752	1,317489021	0,543197103	0,198675497	0,107009096	0,329263273	0,834701697	1,137765593	1,212447797	1,150337168	1,143232589	1,141732283	1,124338624	0,933582289	1,01681128	1,003850385	1,186156852
JC L‹¨«chow-Dannenberg	25110	1,677316294	1,165594855	1,256077796	0,808734331	0,64672595	0,320769848	0,383288616	0,22675737	0,224634968	0,0382263	0	0	0	*	*	*	*	*	0	0,241643174	*	*	0,336275746	0,508259212
JC Uelzen	25112	3,989740667	4,468633629	4,208705679	3,786574871	2,457142857	1,571709234	1,33624216	0,96359743	0,667200427	0,080840744	0,135795763	0,580110497	1,185770751	1,781674208	2,422342548	3,110986547	3,421633554	3,112947658	2,818458138	2,754590985	3,259342512	4,131994261	4,324012684	4,467960024
JC Grafschaft Bentheim	25704	3,535108959	3,575772318	3,001230012	3,078426582	2,751166789	2,603664417	2,697630776	2,11057582	1,404621658	0,658044021	0,2734108	0,327868852	1,171128107	2,358949416	3,338206628	3,142373701	2,915173238	1,881848499	1,512241959	0,74825006	1,09223301	0,959409594	0,950950951	1,645244216
JC Emsland	25706	1,276197167	1,296728972	1,045091592	0,700770848	0,280767431	0,046328469	0,056116723	0,043835616	0,043898156	0,033079722	0	0,045787546	0,104919562	0,316641257	0,673679234	0,676148286	0,699621516	0,478523413	0,639123488	0,605022831	0,633567561	0,739610237	0,969579445	1,234567901
JC Delmenhorst, Stadt	26104	2,939137668	2,78512742	2,39200788	2,006409363	1,240072454	0,639066407	0,150540578	0,135740464	0,081588251	0	*	*	0,0991361	0,34066714	0,440403466	0,580489877	0,505263158	0,421170855	0,324400564	0,353706848	0,385164051	0,476327945	0,500515236	0,596302922
JC Oldenburg (Oldenburg), Stadt	26106	2,681733851	2,384791649	2,393411684	2,079072938	1,464203626	0,805031447	0,477137177	0,406186533	0,256989331	0,054966627	0,103916867	0,163398693	0,53471468	0,910762032	1,382141062	1,558762887	1,542857143	1,422186103	1,203643461	1,008858268	0,842279108	0,826239359	1,408211741	1,771211336
JC Wesermarsch	26110	3,688335639	3,920220083	4,244637152	3,773153442	3,242749486	2,270173073	1,973684211	1,186813187	0,813902332	0,155382908	0,179573513	0,410396717	0,816231343	1,27966496	1,590643275	1,692165044	1,514456173	1,274755293	1,013057181	1,020639601	1,105226802	1,294498382	1,53991945	1,745454545
