;;;;;;;Grundsicherung für Arbeitsuchende nach dem SGB II
;;;;;;;
1. Leistungskürzung durch Sanktion gegenüber erwerbsfähigen Leistungsberechtigten (ELB);;;;;;;
Deutschland, West/Ost, Länder und Jobcenter;;;;;;;
Berichtsmonat September 2021;;;;;;;
;;;;;;;
Lesehilfe:  Die Sanktionen bewirkten bundesweit bei knapp 34.000 ELB mit mindestens einer Sanktion im Berichtsmonat September 2021;;;;;;;
eine durchschnittliche Kürzung des laufenden Leistungsanspruchs um 16%. Dies entspricht einer durchschnittlichen Kürzung um 99 Euro. ;;;;;;;
;;;;;;;
Regionen;Träger-nummer;Insgesamt;;;dar. unter 25 Jahre;;
;;Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)";Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)"
;;;;;;;
JC Steinfurt;37710;116;13,6;78,52;32;14,7;65,39
JC Siegen-Wittgenstein;38102;130;13,9;89,57;18;16,2;86,46
JC Olpe;38104;47;20,9;123,25;*;19,4;105,26
JC Soest;38302;83;13,8;84,75;*;13,3;57,29
JC Hochsauerlandkreis;38340;156;16,1;99,62;21;21,3;123,24
JC Wesel;38702;147;15,2;94;31;15,3;81,19
JC Kleve;38704;161;15;90,4;32;19;83,62
JC Remscheid, Stadt;39104;50;16,2;100,83;*;22,8;109,52
JC Solingen, Stadt;39106;26;18,6;121,27;*;24,8;144,04
JC Wuppertal, Stadt;39148;245;12,1;81,47;35;14,9;75,38
Hessen;6;2.927;16,2;99,77;673;18,1;86,32
JC Hersfeld-Rotenburg;41102;46;16,7;93,48;8;16,2;76,03
JC Fulda;41110;84;17,1;94,78;15;21;70,7
JC Bergstraße;41502;121;17,8;108,61;22;59,1;222,01
JC Darmstadt-Dieburg;41506;36;15,1;89,63;*;17,2;83,15
JC Odenwaldkreis;41508;70;16,7;87,12;36;19,2;87,06
JC Darmstadt, Wissenschaftsstadt;41512;30;20;121,28;*;26,7;135,5
JC Frankfurt am Main, Stadt;41920;282;16,3;108,38;59;19,9;93,62
JC Gießen;42702;154;12,7;86,45;23;16,1;82,95
JC Vogelsbergkreis;42704;18;9,8;59,94;5;0;0
JC Wetteraukreis;42708;161;18,7;116,53;33;23;107,48
JC Main-Kinzig-Kreis;43102;109;16,6;102,92;15;7,3;35,97
JC Hochtaunuskreis;43302;26;19,7;129,14;*;20,1;124,9
JC Main-Taunus-Kreis;43304;11;14,9;98,7;-;0;0
JC Groß-Gerau;43306;69;14,7;79,16;*;4,2;17,39
JC Kassel, documenta-Stadt;43502;166;18,7;109,53;50;20,3;100,74
JC Kassel;43504;90;17,7;110,09;15;15,9;79,12
JC Werra-Meißner-Kreis;43520;100;16,1;110,02;8;12,5;104,81
JC Waldeck-Frankenberg;43902;59;13,2;75;18;14,8;65,99
JC Schwalm-Eder-Kreis;43904;176;14,4;89,43;18;18;87,23
JC Limburg-Weilburg;44302;128;16,6;95,33;34;21,4;95,23
JC Lahn-Dill-Kreis;44304;65;17,3;107,8;*;21,5;95,83
JC Marburg-Biedenkopf;44702;163;19,8;123,91;31;21,4;114,68
JC Offenbach;45108;229;15,6;91,21;87;8,8;42,08
JC Offenbach am Main, Stadt;45148;299;15,8;93,57;67;20,4;89,51
JC Wiesbaden, Landeshauptstadt;45902;154;15,4;97,54;46;21,2;104,16
JC Rheingau-Taunus-Kreis;45904;81;11,2;77,56;*;11,8;69,11
